Daily_returns,WTI,Copper,Gold,Bitcoin,Eurusd,Nasdaq,S_P,Dax,Ftse100,Nikkei_225,AMD,Germany_10y,US10y,PF
Week1,-0.4,0.4,0.6,-7.5,0.2,0.4,0,0,0.3,-0.4,-0.7,0,0.4,-1.3
Week2,-1,0.9,1.4,-8.2,0.7,0.5,0,0,0.3,-1.1,-5.3,0,0.4,-2.3
Week3,-0.4,1.6,1.2,-7,0.9,1,0.3,0.5,-0.1,-0.9,-3.7,-0.2,0,-1.4
Week4,0.1,1.6,1.5,-4.3,1,1.1,0.2,0.2,-0.3,-1,0.2,-0.3,-0.1,0
Week5,-0.3,1.6,2.3,-2.5,0.7,1.5,0.5,0,0.1,-1.1,6.4,0.1,0.4,1.9
Week6,0,2.5,2.2,-2.4,0.5,2.2,1.2,0.6,0.5,-0.5,5.6,0.1,0,2.5
Week7,0.4,2.1,2.6,2.2,0.3,2.6,1.6,1.1,0.4,-0.6,8.8,0.5,0.4,4.5
Week8,0.1,2,2.4,5.1,0.3,2.6,1.8,1.3,0.9,-0.4,7.4,0.3,0,4.8
Week9,-2.5,0.7,1.4,3.3,0.4,2.5,1.6,1.3,0.8,-0.3,6.5,0,-0.6,3
Week10,-3.8,1.4,1.9,2.5,0.9,2.7,1.7,1.4,1.1,-0.1,7.3,-0.1,-0.3,3.3
Week11,-4.4,1.1,2.7,-2.9,1.2,2.4,1.3,1.5,0.7,-1,7.2,0,0.5,2.1
Week12,-2.2,1.4,2.8,-0.2,0.7,2.9,1.5,2.2,0.8,-1.2,8.4,0.4,0.5,3.6
Week13,-0.7,1.2,3,3.3,0.5,2.7,1.4,2,0.8,-1.7,6.2,0.6,0.7,4
Week14,-1,-0.2,3.8,3.9,0.7,2.6,1.2,1.6,0.1,-2.3,4.3,0.8,1.4,3.4
Week15,-3.1,0.2,3.4,6.2,1.3,3.5,1.8,2.5,0.2,-1.1,5.9,0.4,1,4.5
Week16,-4.6,-0.3,2.4,13.9,1.5,4.1,2,3.3,0.6,0.1,-2,0.2,0.7,4.4
Week17,-3.6,-0.4,2.3,18.4,1.8,4.2,2,3.7,1.4,0.6,0.3,0.1,0.8,6.3
Week18,-2,0.2,2.9,25.4,2.5,4.2,1.9,3.3,1.5,0.1,-1.1,0.2,1.3,8.1
Week19,-3.2,0.3,3.2,29.2,2.5,4.8,2.4,3.3,1.8,0.3,-1.3,0.4,1.6,9.1
Week20,-5.1,0.3,3.7,35.1,2.7,5.3,2.7,3.7,1.7,0.8,2.1,0.6,2,11.1
Week21,-6.2,0.4,3.1,32.4,2.5,4.7,2.7,3.7,1.5,0.6,1.1,0.7,2.1,9.8
Week22,-8.2,0.6,2.7,34.4,2.4,5,2.8,3.8,1.4,1,6.1,0.7,2.6,11.1
Week23,-6.8,1.6,2.6,31.7,3,4.7,2.6,3.1,1,1.1,5.4,0.3,2.4,10.5
Week24,-6.3,1.4,1.8,32.4,3.2,4.4,2.5,2.7,0.9,0.8,5.2,-0.3,1.6,10.1
Week25,-5.7,1.8,2,28.8,3.4,5.2,2.9,3.1,1,1,7.3,-0.2,1.6,10.4
Week26,-5.1,2.6,2.7,32.8,3.9,6,3.3,2.4,1.3,0.9,7.5,0,2,12.1
Week27,-2.9,4.5,3.2,34.7,4.4,5.9,3.3,2,1.2,0.8,7.9,0,1.7,13.3
Week28,-2.9,4.8,3.1,38.9,4.6,5.8,3.3,2.1,1.6,0.8,5.7,0.2,2.1,14
Week29,-4,5.1,3.7,48.7,4.4,5.5,3.1,1.8,1.2,0.2,4,0.4,2.3,15.3
Week30,-4.2,5.9,3.9,50.8,4.5,5.1,2.7,1.9,0.9,-0.4,2.9,0.5,2.6,15.5
Week31,-4.9,7,4.6,55.5,4.9,5.7,3.1,1.6,1.1,-0.1,4,0.7,2.8,17.2
Week32,-3.6,7.3,5.4,53.7,5.1,5.9,3.2,2.3,1,-0.4,3.9,0.8,3.2,17.5
Week33,-2.6,5.6,4.5,48.5,5,6.3,3.7,3.1,0.6,1.2,5.4,0.4,2.5,16.9
Week34,-1,5.2,4,50.6,4.5,6.2,3.8,3.5,0.7,1.4,3.9,0.4,2.4,17.1
Week35,-2.2,6.2,3.5,53.8,4.4,7,4.4,4.3,1.6,2,5.7,0.4,2,18.6
Week36,-1.4,8,4.1,61.4,4.6,7.2,4.5,4.4,1.8,2.9,8.2,0.6,2.4,21.7
Week37,-1.1,8.2,3.7,63.8,4.5,7.2,4.7,4.5,1.8,3.7,7.9,0.5,2.1,22.3
Week38,0.1,7.9,3.5,65.4,4.1,7.4,4.8,5,1.5,4.4,0.4,0.6,1.8,21.4
Week39,2.3,7.6,3.7,72.2,3.9,8.1,5,5.5,1.8,5.8,0.3,0.8,2.7,23.9
Week40,1.9,7.1,3.6,71.2,4.3,8,4.9,4.6,1.1,5.1,-0.9,0.7,2.4,22.8
Week41,2.6,7.4,3.7,81.8,4.5,8.4,5.3,4.5,0.9,5.4,-1.6,0.9,2.8,25.3
